datetime;otras_fuentes;eolica;solar;otras_renovables;%otras_fuentes;%eolica;%solar;%otras_renovables
2018;194.778,39;49.581,49;12.190,51;4.431,51;74,6%;19,0%;4,7%;1,7%
2019;187.657,80;54.245,06;14.418,45;4.507,53;71,9%;20,8%;5,5%;1,7%
2020;171.444,82;54.906,25;19.840,45;5.207,23;68,2%;21,8%;7,9%;2,1%
2021;168.201,15;60.525,66;25.686,57;5.597,81;64,7%;23,3%;9,9%;2,2%
2022;177.659,32;61.193,57;32.025,16;5.534,62;64,3%;22,1%;11,6%;2,0%
2030;42.000,00;50.000,00;46.000,00;23.000,00;26,1%;31,1%;28,6%;14,3%
