datetime;eolica;solar_FV;solar_termoelectrica;hidraulica;bombeo_mixto;bombeo_puro;biogas;otras_renovables;biomasa;carbon;ciclo_combinado;cogeneracion;fuel_gas;residuos_otros;nucelar;almacenamiento;Columna2
2015;22925;4854;2300;14104;2687;3337;223;0;677;11311;26612;6143;3708;893;7399;0;
2020;28033;9071;2303;14109;2687;3337;211;0;613;7897;26612;5239;3708;610;7399;0;
2025;40633;21713;4803;14359;2687;4212;241;40;815;2165;26612;4373;2781;470;7399;500;
2030;50333;39181;7303;14609;2687;6837;241;80;1408;0;26612;3670;1854;341;3181;2500;
