,datetime,eolica,solar_FV,solar_termoelectrica,hidraulica,bombeo_mixto,bombeo_puro,biogas,otras_renovables,biomasa,carbon,ciclo_combinado,cogeneracion,fuel_gas,residuos_otros,nucelar,almacenamiento
0,2035,64924.294044584036,64174.97012591362,11675.742424249649,15042.749990997836,2687.0000012754845,10555.747121363878,264.9999909628532,149.99990933737718,2298.2499909698963,-3011.750009045005,26611.999999889977,3036.2499909736216,231.74999095499516,321.999302030541,-2091.488597422838,5249.9999999552965
1,2040,81291.44648045301,95614.63365364075,17172.13343127072,15586.74999095872,2687.0000012878136,15630.743667259812,291.3999909165432,237.99980667838827,3523.2499909363687,-5104.750009082258,26611.999999845415,2509.2499909326434,-1807.65000911057,373.3984690550715,-9683.875509172678,9049.999999925494
