datetime;Hidráulica;Turbinación bombeo;Nuclear;Carbón;Fuel + Gas;Motores diésel;Turbina de gas;Turbina de vapor;Ciclo combinado;Hidroeólica;Eólica;Solar fotovoltaica;Solar térmica;Otras renovables;Cogeneración;Residuos no renovables;Residuos renovables
2018;16,392;3,2;6,837;9,635;0,008;0,779;1,103;0,464;25,216;0,011;22,504;4,583;2,213;0,856;5,618;0,431;0,151
2019;15,545;3,029;6,471;8,804;0,007;0,699;1,044;0,439;23,865;0,01;23,345;7,952;2,095;0,947;5,205;0,402;0,143
2020;15,414;3,003;6,416;5,169;0,007;0,693;1,036;0,435;23,665;0,01;24,874;10,539;2,077;0,984;5,147;0,39;0,142
2021;15,057;2,934;6,269;3,316;0,007;0,677;1,012;0,425;23,122;0,01;25,186;13,466;2,029;0,963;4,984;0,392;0,15
2022;14,329;2,793;5,966;2,904;0,007;0,644;0,963;0,405;22,004;0,009;25,179;16,72;1,931;0,916;4,73;0,357;0,143
